SK_ID_CURR,TARGET
100001,0.10649819494584838
100005,0.11913357400722022
100013,0.05415162454873646
100028,0.052346570397111915
100038,0.10288808664259928
100042,0.03429602888086643
100057,0.04693140794223827
100065,0.0740072202166065
100066,0.02707581227436823
100067,0.11191335740072202
100074,0.0740072202166065
100090,0.06859205776173286
100091,0.09747292418772563
100092,0.0631768953068592
100106,0.06678700361010831
100107,0.14259927797833935
100109,0.05956678700361011
100117,0.05956678700361011
100128,0.12274368231046931
100141,0.0703971119133574
100150,0.02888086642599278
100168,0.023465703971119134
100169,0.05054151624548736
100170,0.04693140794223827
100171,0.030685920577617327
100172,0.1371841155234657
100184,0.04332129963898917
100187,0.07220216606498195
100212,0.07942238267148015
100222,0.05415162454873646
100223,0.04332129963898917
100232,0.018050541516245487
100241,0.21299638989169675
100245,0.05776173285198556
100253,0.03429602888086643
100256,0.09025270758122744
100271,0.02707581227436823
100278,0.259927797833935
100280,0.05776173285198556
100306,0.14981949458483754
100311,0.17328519855595667
100312,0.09927797833935018
100330,0.15162454873646208
100331,0.0703971119133574
100352,0.07942238267148015
100358,0.09386281588447654
100367,0.04151624548736462
100382,0.14981949458483754
100384,0.052346570397111915
100385,0.10469314079422383
100386,0.05956678700361011
100399,0.02888086642599278
100404,0.11913357400722022
100416,0.03429602888086643
100422,0.1263537906137184
100426,0.02527075812274368
100438,0.06859205776173286
100444,0.16967509025270758
100445,0.09205776173285199
100446,0.15162454873646208
100447,0.03790613718411552
100450,0.05776173285198556
100466,0.05956678700361011
100483,0.030685920577617327
100484,0.09566787003610108
100494,0.11732851985559567
100510,0.1588447653429603
100512,0.04512635379061372
100517,0.061371841155234655
100548,0.036101083032490974
100551,0.03429602888086643
100552,0.10830324909747292
100553,0.036101083032490974
100561,0.15703971119133575
100568,0.2996389891696751
100569,0.05415162454873646
100591,0.0703971119133574
100592,0.02527075812274368
100602,0.0812274368231047
100607,0.07581227436823104
100613,0.06859205776173286
100617,0.11371841155234658
100618,0.16606498194945848
100622,0.18050541516245489
100625,0.06859205776173286
100677,0.14620938628158844
100699,0.06498194945848375
100702,0.3194945848375451
100711,0.06498194945848375
100729,0.12815884476534295
100740,0.14620938628158844
100744,0.20577617328519857
100745,0.14259927797833935
100747,0.16606498194945848
100751,0.23465703971119134
100752,0.0812274368231047
100753,0.2292418772563177
100754,0.14620938628158844
100760,0.09025270758122744
100762,0.06498194945848375
100763,0.1263537906137184
100765,0.021660649819494584
100770,0.11552346570397112
100772,0.02527075812274368
100777,0.018050541516245487
100791,0.02888086642599278
100792,0.05415162454873646
100797,0.032490974729241874
100823,0.05415162454873646
100826,0.0740072202166065
100830,0.02527075812274368
